auction_number;lot_number;contract_number;date_show;date_hide;date_start;date_stop;title;short_desc;desc;price;max_price;sales_price;img;img;img;img;img;img;img;img;img;img;img;img;img;img;img
5;1002270;;"2013-01-04 15:57:00";"2013-01-05 15:57:00";"2012-11-23 14:00:00";"2012-11-23 18:00:00";"Лот 100. Неизвестный художник «Портрет молодого араба»";;"Бумага, акварель, конец XIX в., овал 25,5х21,5 см";1700;2000;0;;;;;;;;;;;;;;
4;1001906;;"2012-04-09 11:22:00";"2012-10-09 09:22:00";"2012-05-20 12:00:00";"2012-05-20 17:00:00";"Лот 100. Судейкин Сергей Юрьевич  (1882-1946) «Эскиз обложки к альбому Т.Карсавиной»";;"Бумага, акварель, 1914 г., на обороте надписи: «Вариант С.Судейкин обл. альбома изд «Бродячая собака», 21,5х19 см. Провенанс: собрание Л.Соскина, Ленинград.";3000;5000;0;4_100_2.jpg;4_100_1.jpg;;;;;;;;;;;;
6;1002854;;"2013-04-09 16:21:00";"2013-11-01 00:21:00";"2013-05-19 12:00:00";"2013-05-19 15:00:00";"Лот 100. Шухаев Василий Иванович (1887-1973) «Эскиз театральной декорации»";;"Холст, темпера, 1936 г., подпись и дата: «В.Шухаев Ленинград 1936», 60х91 см. Один из 3-х эскизов декораций к театральной постановке, созданный В.В.Шухаевым между возвращением из эмиграции в марте 1935 г. и до ареста в апреле 1937 г. В этот период художник активно работал в области станкового, монументального и театрально-оформительского искусства, в частности, в Ленинграде для Кировского театра и БДТ. Фотография этого эскиза входит в архив В.В.Шухаева в ГРМ.";45000;55000;0;;;;;;;;;;;;;;
4;1001907;;"2012-04-09 11:22:00";"2012-10-09 09:22:00";"2012-05-20 12:00:00";"2012-05-20 17:00:00";"Лот 101. Кругликова Елизавета Сергеевна  (1865-1941) «Пейзаж в Андорре»";;"Бумага, тушь, карандаш, 1901 г., подпись и дата: «Andorra 1901 E Krouglicoff», внизу тушью: «Резиденцiя президента респ. Андорра», размер листа 25х32 см, размер изображения 16х23,3 см";2000;3000;0;4_101_1.jpg;;;;;;;;;;;;;
5;1002271;;"2013-01-04 15:57:00";"2013-01-05 15:57:00";"2012-11-23 14:00:00";"2012-11-23 18:00:00";"Лот 101. Маковский Владимир Егорович (1846-1920) «Варка варенья»";;"Бумага, карандаш, 1870-е гг., удостоверяющая надпись: «Работу В.Е.Маковского удостоверяю. Н.Маковская», 33х48 см. Рисунок-эскиз картины «Варят варенье» (1876 г., ГТГ).";4500;5000;0;;;;;;;;;;;;;;
6;1002855;;"2013-04-09 16:21:00";"2013-11-01 00:21:00";"2013-05-19 12:00:00";"2013-05-19 15:00:00";"Лот 101. Серов Валентин Александрович (1865-1911) Эскиз «Ангел»";;"Бумага, акварель, белила, конец XIX в., удостоверяющая надпись: «В.Серовъ. Свидетельствую К.Коровинъ 1900 г.», 38х27,5 см";22500;27000;0;;;;;;;;;;;;;;
6;1002856;;"2013-04-09 16:21:00";"2013-11-01 00:21:00";"2013-05-19 12:00:00";"2013-05-19 15:00:00";"Лот 102. Бенуа Александр Николаевич (1870-1960) «Павловск»";;"Бумага, смешанная техника, 1907 г., подпись и дата: «Александръ Бенуа 1907 Павловскъ», размер по окну 49х64 см. Провенанс: из собрания П.П.Казачкова. Упоминается в книге: Марк Эткинд «Александр Бенуа», изд. «Искусство», 1965 г., с.185. Выставка: «Рисунки и акварели русских художников 18 - нач. 20 вв. из частных собраний Ленинграда», Л., 1964 г. НИИ Академии художеств СССР. Каталог, с.10.";50000;80000;0;;;;;;;;;;;;;;
5;1002272;;"2013-01-04 15:57:00";"2013-01-05 15:57:00";"2012-11-23 14:00:00";"2012-11-23 18:00:00";"Лот 102. Лагорио Лев Феликсович (1827-1905) «Морской пейзаж с парусниками»";;"Бумага, акварель, 1885 г., подпись и дата: «Лагорiо 1885 г», 21,5х32,5 см";5600;6500;0;;;;;;;;;;;;;;
4;1001908;;"2012-04-09 11:22:00";"2012-10-09 09:22:00";"2012-05-20 12:00:00";"2012-05-20 17:00:00";"Лот 102. Серебрякова Зинаида Евгеньевна (1884-1967) «Обнаженная»";;"Бумага, пастель, 1931 г., подпись и дата: «Z. Serebriakova 1931», 47х61 см Провенанс: собрание семьи художницы.";500000;600000;0;4_102_6.jpg;4_102_3.jpg;4_102_1.jpg;4_102_2.jpg;4_102_5.jpg;4_102_4.jpg;;;;;;;;
6;1002857;;"2013-04-09 16:21:00";"2013-11-01 00:21:00";"2013-05-19 12:00:00";"2013-05-19 15:00:00";"Лот 103. Бенуа Александр Николаевич (1870-1960) «Пейзаж с валунами»";;"Бумага, акварель, 1905 г., подпись и дата: «Александръ Бенуа 1905», размер по окну 25,5х45 см. Провенанс: из собрания П.П.Казачкова.";8000;12000;0;;;;;;;;;;;;;;
5;1002273;;"2013-01-04 15:57:00";"2013-01-05 15:57:00";"2012-11-23 14:00:00";"2012-11-23 18:00:00";"Лот 103. Боголюбов Алексей Петрович (1824-1896) «Рыбачий поселок»";;"Бумага, тушь, перо, 1879 г., подпись и дата: «А.Боголюбовъ 1879», 31,8х49,5 см";10000;12000;0;;;;;;;;;;;;;;
4;1001909;;"2012-04-09 11:22:00";"2012-10-09 09:22:00";"2012-05-20 12:00:00";"2012-05-20 17:00:00";"Лот 103. Добужинский Мстислав Валерьянович (1875-1957) «Гровенор сквер, Лондон»";;"Бумага, акварель, карандаш, тушь, 1955 г., монограмма и дата: «M.Д...1955», на обороте надпись: «A Marie 1955 26/V Lo(ndon?)», 31х23 см Провенанс: обе представленные работы происходят из коллекции Мау (настоящее имя Мари), датской девушки, с которой Мстислав Добужинский познакомился в 1912 году и поддерживал романтические отношения на протяжении всей жизни. Во время встреч в разных городах Европы художник дарил Мау свои работы и многократно писал ее портреты. Ее коллекция графики Добужинского оказалась достаточно обширной. В ноябре 2008 года она была выставлена на торги аукциона Bruun Rasmussen (Копенгаген).";5000;7000;0;4_103_5.jpg;4_103_3.jpg;4_103_2.jpg;4_103_1.jpg;4_103_4.jpg;4_103_6.jpg;;;;;;;;
5;1002274;;"2013-01-04 15:57:00";"2013-01-05 15:57:00";"2012-11-23 14:00:00";"2012-11-23 18:00:00";"Лот 104. Бенуа Альберт Николаевич (1852-1936) «Берег реки»";;"Бумага, акварель, белила, конец XIX в., подпись: «Альбертъ Бенуа», 19х24 см";3000;4000;0;;;;;;;;;;;;;;
4;1001910;;"2012-04-09 11:22:00";"2012-10-09 09:22:00";"2012-05-20 12:00:00";"2012-05-20 17:00:00";"Лот 104. Добужинский Мстислав Валерьянович (1875-1957) «Вид Тиволи»";;"Бумага, акварель, карандаш, тушь, 1954 г., монограмма и дата: «М.Д. Tivoli 1954», на обороте надпись: «A Marie  26.V.55 Lo(ndon?)», «Раскрасил (?) 25 янв. 955  Lo(ndon?)», 31х23 см";6000;8000;0;4_104_7.jpg;4_104_6.jpg;4_104_5.jpg;4_104_4.jpg;4_104_3.jpg;4_104_2.jpg;4_104_1.jpg;;;;;;;
6;1002858;;"2013-04-09 16:21:00";"2013-11-01 00:21:00";"2013-05-19 12:00:00";"2013-05-19 15:00:00";"Лот 104. Лансере Евгений Евгеньевич (1875-1946) «Дроздовец»";;"Бумага, акварель, белила, 1919 г., подпись и дата: «Е.Lanceray Rostov. XI.1919», 46,5х30,5 см. Работа написана в 1919 г., когда Е.Е.Лансере работал художником в Осведомительно-агитационном бюро Добровольческой армии Юга России под командованием А.И.Деникина. Дивизия имени генерала Дроздовского входила в состав Добровольческой армии.";15000;20000;0;;;;;;;;;;;;;;
6;1002859;;"2013-04-09 16:21:00";"2013-11-01 00:21:00";"2013-05-19 12:00:00";"2013-05-19 15:00:00";"Лот 105. Благодарственная грамота Общества «Русских военных инвалидов» 1924 г.";;"Украшена живописью в русском стиле. Бумага, акварель, тушь, перо, 52х22,5 см";1000;1500;0;;;;;;;;;;;;;;
